seed,episode,method,reward,delay,energy,completion_ratio,violation_ratio,total_tasks,actions_taken,collab_rate
42,26,wo_co,-48.27409746771515,4.545572232129519,0.2818375146419968,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,27,cotop,-46.75626764092496,4.350079193121688,0.32554757097080905,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,27,local,-47.060559017666,4.363426611079531,0.34262929068706954,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,27,greedy,-89.67902979223203,4.4783829042452155,4.489520074977985,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,27,wo_md,-47.519516477033186,4.487150444443932,0.2648012032593887,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,27,wo_tp,-103.42139375487645,4.592906520202395,5.749232855285252,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,27,wo_co,-50.112447710905826,4.674704438837805,0.3365403322527759,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,28,cotop,-45.42864252283921,4.2415932365800355,0.3012710157038853,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,28,local,-48.93699505832777,4.596216250038249,0.29748325579452817,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,28,greedy,-89.50981662228007,4.393089752854136,4.557891909373871,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,28,wo_md,-49.794357806728314,4.653928893798266,0.3255068868745649,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,28,wo_tp,-93.55844220174706,4.1323454084337845,5.223498811740919,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,28,wo_co,-53.00331465799456,4.999625627300995,0.3007058384984625,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,29,cotop,-46.67535144700453,4.355197103783608,0.3123380409168445,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,29,local,-46.58741174756842,4.36145368114849,0.2972874936083503,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,29,greedy,-87.23622726666706,4.276356733557377,4.44726599310933,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,29,wo_md,-46.96812961759586,4.38226395464463,0.3145490071149547,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,29,wo_tp,-100.77054269063255,4.450795005771972,5.626259263291281,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,29,wo_co,-46.86836160726295,4.310415750634375,0.37642041009191973,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,30,cotop,-43.22284471476996,3.991382058183258,0.33090241329373804,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,30,local,-48.59063639959151,4.556146315856067,0.3029173241030841,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,30,greedy,-83.11031279120742,4.1483558484040035,4.162675430716737,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
