ablation_condition,geometry,workload,seed,realization_hash,mean_delay,std_delay,mean_energy,std_energy,completion_ratio,collab_ratio,N_generated,N_completed,N_failed,disabled_code_path,invariants_passed
w/o MD,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.7465,0.5345,0.1527,0.0645,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.7443,0.5331,0.1527,0.0645,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,0.7465,0.5345,0.1527,0.0645,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.7367,0.5398,0.1456,0.0646,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.7367,0.5398,0.1456,0.0646,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.7342,0.5369,0.1456,0.0646,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,0.7367,0.5398,0.1456,0.0646,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.7368,0.5318,0.1428,0.062,1.0,0.0,200,200,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.7368,0.5318,0.1428,0.062,1.0,0.0,200,200,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.7371,0.5301,0.1428,0.062,1.0,0.0,200,200,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,0.7368,0.5318,0.1428,0.062,1.0,0.0,200,200,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.7557,0.5252,0.1377,0.0631,1.0,0.0,300,300,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.7557,0.5252,0.1377,0.0631,1.0,0.0,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.7555,0.5265,0.1377,0.0631,1.0,0.0,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,0.7557,0.5252,0.1377,0.0631,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.764,0.5362,0.1437,0.0653,1.0,0.0,300,300,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.764,0.5362,0.1437,0.0653,1.0,0.0,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.7636,0.5356,0.1437,0.0653,1.0,0.0,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,0.764,0.5362,0.1437,0.0653,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,30,2,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,0.7578,0.5479,2.6794,1.6041,1.0,0.7667,300,300,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,30,2,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,0.9729,0.5782,5.2076,3.2085,1.0,0.7667,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,30,2,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,0.7559,0.5453,2.6794,1.6041,1.0,0.7667,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,30,2,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,0.7632,0.5458,0.1512,0.0658,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,30,3,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,0.8156,0.5477,2.3812,1.6258,1.0,0.71,300,300,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,30,3,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,1.0612,0.5928,4.6177,3.25,1.0,0.71,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,30,3,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,0.8086,0.5523,2.3812,1.6258,1.0,0.71,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,30,3,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,0.7755,0.5443,0.1446,0.0648,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,0.753,0.5151,2.6028,1.6073,1.0,0.7533,300,300,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,0.9391,0.533,5.0658,3.2145,1.0,0.7533,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,0.7548,0.5164,2.6028,1.6073,1.0,0.7533,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
